,city,distance from NY,distance from san francisco,distance from seattle
0,San Francisco%20CCA,4680488,110,1297072
1,Seattle%20CWA,4606061,1296231,798
2,San Jose%20CCA,4733129,75992,1349713
3,Kirkland%20CWA,2566387,2714350,4479753
4,Bellevue%20CWA,4586918,1305104,15513
5,Los Gatos%20CCA,4741100,81028,1359960
6,Palo Alto%20CCA,4731642,52394,1350502
7,New York%20CNY,10007,4668727,4588148
8,Menlo Park%20CCA,4727625,48377,1346485
9,Roseland%20CNJ,38727,4637777,4557874
10,San Diego%20CCA,4470171,795369,2007067
11,Mc Lean%20CVA,381733,4510064,4431452
12,Boston%20CMA,340801,4977621,4897718
13,Washington%20CDC,4523564,629415,1843388
14,Redmond%20CWA,4584771,1302957,16830
15,Mountain View%20CCA,4733749,61440,1350659
16,Cupertino%20CCA,4747337,68680,1366197
17,Sunnyvale%20CCA,4732087,63524,1348731
18,Bloomington%20CMN,1938245,3163041,2680993
19,Austin%20CTX,2809697,2829143,3429762
20,Santa Monica%20CCA,4519772,613547,1827521
21,Charlotte%20CNC,1015931,4361594,4496092
22,Dallas%20CTX,2496062,2786113,3363231
23,Albuquerque%20CNM,3215226,1750403,2318419
24,Cary%20CNC,815229,4560441,4618606
25,Atlanta%20CGA,1401271,3993295,4238922
26,Cambridge%20CMA,665996,4139678,4075614
27,Bentonville%20CAR,2085043,2977204,3297849
28,Irvine%20CCA,4489857,685025,1896722
29,Los Angeles%20CCA,4493846,613268,1827242
30,Chicago%20CIL,1276254,3422402,3321648
31,Broomfield%20CCO,2871490,1993967,2100165
32,Hillsboro%20COR,4698504,1042472,309771
33,Santa Clara%20CCA,4732030,70973,1350890
34,Plano%20CTX,2497842,2781310,3357137
35,Columbus%20COH,866643,3929905,3900360
36,Colorado Springs%20CCO,2867951,2119063,2226552
37,Portland%20COR,4663595,1020080,280142
38,Berkeley%20CCA,4665078,21018,1283938
39,Morrisville%20CNC,810167,4555319,4614774
40,Boulder%20CCO,2889247,2010343,2115866
41,Richmond%20CVA,549822,4618252,4602683
42,Pittsburgh%20CPA,611951,4134585,4064379
43,Raleigh%20CNC,796298,4569580,4629035
44,Reston%20CVA,395724,4524752,4446140
45,Wilmington%20CDE,202657,4607102,4528490
46,Houston%20CTX,2626661,3099810,3740217
47,Redwood City%20CCA,4719849,40662,1338770
48,Denver%20CCO,2865975,2009102,2115300
49,Walnut Creek%20CCA,4653571,39492,1270216
50,Cincinnati%20COH,1033105,3797555,3801330
51,Farmington%20CUT,3491643,1204512,1324069
52,Fremont%20CCA,4709830,59740,1328690
53,Phoenix%20CAZ,3883807,1210522,2265820
54,South San Francisco%20CCA,4693331,14083,1309915
55,Minneapolis%20CMN,1929914,3174687,2666194
56,Philadelphia%20CPA,191140,4591681,4513069
57,Tel Aviv%20CIsrael,None,None,None
58,Milpitas%20CCA,4718202,72539,1334786
59,Jersey City%20CNJ,11544,4665400,4586788
60,Newtown Square%20CPA,182242,4595438,4516826
61,San Mateo%20CCA,4708972,29724,1327832
62,Fort Worth%20CTX,2546600,2743515,3319342
63,Tampa%20CFL,1825894,4617235,4972708
64,Norfolk%20CVA,587930,4773754,4752019
65,Warren%20CMI,1971552,2938225,2989120
66,Ann Arbor%20CMI,991461,3783645,3718290
67,Raritan%20CNJ,75904,4653280,4574668
68,Illinois City%20CIL,1544995,3147221,3057690
69,Madison%20CWI,3999966,3356018,3097834
70,Kansas City%20CMO,1926081,2901081,2951976
71,Durham%20CNC,789435,4532542,4591997
72,Pleasanton%20CCA,4689019,63260,1307880
73,Arlington%20CVA,375887,4523108,4443205
74,San Ramon%20CCA,4674587,56799,1293447
75,Saint Paul%20CMN,1914459,3189425,2684013
76,Foster City%20CCA,4712832,33585,1329416
77,Round Rock%20CTX,2780473,2828860,3412257
78,Plymouth Meeting%20CPA,162438,4602482,4523870
79,Brazil%20CIN,2537781,2766742,1298555
80,Armonk%20CNY,57517,4719682,4641070
81,Chandler%20CAZ,3881496,1249257,2303483
82,San Bruno%20CCA,4696866,17618,1313450
83,Fairfax%20CVA,396380,4525408,4444830
84,Emeryville%20CCA,4666239,15846,1282823
85,San Juan Bautista%20CCA,4796489,145837,1415349
86,Naperville%20CIL,1317261,3381948,3321891
87,Hartford%20CCT,183239,4831813,4751235
88,Gainesville%20CFL,1621014,4416282,4770464
89,Alexandria%20CVA,378304,4530499,4451887
90,Miami%20CFL,2076857,4951411,5305593
91,Orlando%20CFL,1737306,4587722,4943195
92,Arizona City%20CAZ,3953203,1303954,2359471
93,Titusville%20CNJ,1785882,4691061,5046533
94,Italy%20CTX,2925076,2785460,3461758
95,Berlin Center%20COH,664942,4027169,3948557
96,Cleveland%20COH,749359,3951262,3871359
97,Campbell%20CCA,4735874,80759,1354795
98,Beaverton%20COR,4676608,1015663,287814
99,Detroit%20CMI,973753,3823344,3757989
100,Boise%20CID,3975893,1033656,815539
101,Columbia%20CMO,1727766,3101565,3151169
102,Bridgewater%20CNJ,76782,4654097,4574194
103,Stamford%20CCT,63943,4729097,4650485
104,Waltham%20CMA,328199,4965018,4885115
105,Antioch%20CTN,1432926,3720364,3855959
106,Kansas City%20CKS,1925966,2900335,2959113
107,Shelton%20CCT,113590,4778946,4699043
108,Woonsocket%20CRI,312385,4949205,4869302
109,Indianapolis%20CIN,1147317,3621762,3619546
110,San Antonio%20CTX,2935879,2790467,3467836
111,Sacramento%20CCA,4542341,139788,1211110
112,Louisville%20CKY,1192694,3713780,3744125
113,Bloomington%20CIL,1446177,3372802,3284562
114,Spring%20CTX,1789851,4505910,4935374
115,Provo%20CUT,3527347,1247693,1422337
116,Needham%20CMA,328125,4964944,4885041
117,Oakland%20CCA,4680488,110,1299348
118,McLean%20CTX,408933,4516309,4437697
119,Bristol%20CCT,165349,4805517,4726905
120,Mill Valley%20CCA,4685661,25136,1304522
121,Dearborn%20CMI,984761,3840864,3775509
122,Northbrook%20CIL,1314248,3432542,3302833
123,Basking Ridge%20CNJ,64772,4648029,4569417
124,Charleston%20CSC,1229841,4473806,4722801
125,Longmont%20CCO,2862155,1952329,2059818
126,Glendale%20CCA,4491238,604437,1816134
127,Columbia%20CMD,1723480,3104787,3155682
128,Traverse City%20CMI,1377439,3907629,3676056
129,Wellesley%20CMA,796984,4223156,4157800
130,Las Vegas%20CNV,4062808,914061,1811021
131,Huntsville%20CAL,1480132,3708348,4019401
132,Manassas%20CVA,416869,4533672,4455060
133,Rochester%20CMN,1833749,3176182,2743843
134,La Jolla%20CCA,4461066,804478,2018452
135,Hoboken%20CNJ,33582,4674655,4596043
136,Birmingham%20CAL,1554926,3758341,4069002
137,Baltimore%20CMD,319312,4545665,4465762
138,Vienna%20CVA,388032,4516364,4437752
139,Worcester%20CMA,286106,4922925,4836657
140,Irving%20CTX,2515132,2768965,3344631
141,Ireland%20CIN,1028143,3839232,3810426
142,Alpharetta%20CGA,1378423,4028793,4224484
143,Chicago Heights%20CIL,1261273,3428117,3365916
144,Brooklyn%20CNY,17252,4675124,4596512
145,Oklahoma City%20COK,2341311,2616440,3190865
146,Newport Beach%20CCA,4504278,686825,1900799
147,Redmond%20CUT,4668036,89654,25822
148,Herndon%20CVA,398693,4510047,4431435
149,Tulsa%20COK,2172616,2786478,3213689
150,Mississippi State%20CMS,1776367,3657358,3968019
151,Hawaiian Gardens%20CCA,4501073,646813,1860787
152,Boca Raton%20CFL,2004207,4883594,5239067
153,Dublin%20CNH,1362313,3478112,3258195
154,King of Prussia%20CPA,177344,4595454,4516842
155,Newark%20CNJ,23230,4652508,4572605
156,Memphis%20CTN,1768994,3364500,3677127
157,Malvern%20CPA,2054146,3215467,3709594
158,Watertown%20CMA,2248876,2778740,2327364
159,St. Louis%20CMO,1541170,3298197,3349092
160,Washington%20CVA,4209646,1462327,503865
161,Mountain View%20CMO,3419771,1845753,1825674
162,Annapolis Junction%20CMD,342073,4561475,4482863
163,Holmdel%20CNJ,76874,4708114,4629502
164,New City%20CNY,51652,4687773,4609161
165,West McLean%20CVA,382850,4511878,4433266
